id,Municipios,Municipios Limitrofes
0,Angra dos Reis,"Mangaratiba,Paraty,Rio Claro"
1,Aperibé,"Cambuci,Itaocara,Santo Antônio de Pádua"
2,Araruama,"Arraial do Cabo,Cabo Frio,Iguaba Grande,São Pedro da Aldeia,Saquarema,Casimiro de Abreu,Silva Jardim,Rio Bonito"
3,Areal,"Paraíba do Sul,Petrópolis,São José do Vale do Rio Preto,Três Rios"
4,Armação dos Búzios,Cabo Frio
5,Arraial do Cabo,"Araruama,Cabo Frio,Iguaba Grande,São Pedro da Aldeia"
6,Barra Mansa,"Barra do Piraí,Porto Real,Quatis,Resende,Rio Claro,Valença,Volta Redonda"
7,Barra do Piraí,"Piraí,Valença,Vassouras,Mendes,Volta Redonda,Barra Mansa,Pinheiral"
8,Belford Roxo,"Mesquita,Nova Iguaçu,Duque de Caxias,São João de Meriti."
9,Bom Jardim,"Cordeiro,Duas Barras,Nova Friburgo,Trajano de Morais"
10,Bom Jesus do Itabapoana,"Campos dos Goytacazes,Italva,Itaperuna,Natividade,Varre-Sai"
11,Cabo Frio,"Araruama,Armação dos Búzios,Arraial do Cabo,Casimiro de Abreu,São Pedro da Aldeia,Silva Jardim"
12,Cachoeiras de Macacu,"Nova Friburgo,Silva Jardim,Rio Bonito,Tanguá,Itaboraí,Guapimirim,Teresópolis"
13,Cambuci,"Aperibé,Italva,Itaocara,Itaperuna,Santo Antônio de Pádua,São Fidélis,São José de Ubá"
14,Campos dos Goytacazes,"São Francisco de Itabapoana,Santa Maria Madalena,São João da Barra,Quissamã,São Fidélis,Cardoso Moreira,Italva,Bom Jesus do Itabapoana"
15,Cantagalo,"Carmo,Cordeiro,Duas Barras,Itaocara,Macuco,Santo Antônio de Pádua,São Sebastião do Alto"
16,Carapebus,"Conceição de Macabu,Macaé,Quissamã"
17,Cardoso Moreira,"Campos dos Goytacazes,Italva,São Fidélis"
18,Carmo,"Cantagalo,Duas Barras,Sapucaia,Sumidouro"
19,Casimiro de Abreu,"Cabo Frio,Macaé,Nova Friburgo,Rio das Ostras,Silva Jardim"
20,Comendador Levy Gasparian,"Paraíba do Sul,Três Rios."
21,Conceição de Macabu,"Campos dos Goytacazes,Carapebus,Macaé,Quissamã,Santa Maria Madalena,Trajano de Moraes"
22,Cordeiro,"Bom Jardim,Cantagalo,Duas Barras,Trajano de Moraes,Macuco"
23,Duas Barras,"Bom Jardim,Cantagalo,Carmo,Cordeiro,Nova Friburgo,Sumidouro"
24,Duque de Caxias,"Belford Roxo,Rio de Janeiro,Magé,Miguel Pereira,Nova Iguaçu,Petrópolis,São João de Meriti"
25,Engenheiro Paulo de Frontin,"Mendes,Miguel Pereira,Paracambi,Vassouras"
26,Guapimirim,"Cachoeiras de Macacu,Itaboraí,Magé,Petrópolis,Teresópolis"
27,Iguaba Grande,"Araruama,Arraial do Cabo,São Pedro da Aldeia"
28,Itaboraí,"Guapimirim,Cachoeiras de Macacu,Tanguá,Maricá,São Gonçalo,Rio Bonito"
29,Itaguaí,"Rio de Janeiro,Paracambi,Mangaratiba,Piraí,Rio Claro,Seropédica."
30,Italva,"Bom Jesus do Itabapoana,Cambuci,Campos dos Goytacazes,Cardoso Moreira,Itaperuna,São Fidélis"
31,Itaocara,"Aperibé,Cambuci,Cantagalo,Santo Antônio de Pádua,São Fidélis,São Sebastião do Alto"
32,Itaperuna,"Cambuci,Bom Jesus do Itabapoana,Italva,Laje do Muriaé,Miracema,Natividade,São José de Ubá"
33,Itatiaia,Resende
34,Japeri,"Miguel Pereira,Nova Iguaçu,Paracambi,Queimados,Seropédica"
35,Laje do Muriaé,"Itaperuna,Miracema"
36,Macaé,"Carapebus,Casimiro de Abreu,Conceição de Macabu,Nova Friburgo,Rio das Ostras,Trajano de Moraes"
37,Macuco,"Cantagalo,Cordeiro,São Sebastião do Alto,Trajano de Morais"
38,Magé,"Duque de Caxias,Guapimirim,Petrópolis"
39,Mangaratiba,"Angra dos Reis,Itaguaí,Rio Claro"
40,Maricá,"Itaboraí,Niterói,Saquarema,São Gonçalo,Tanguá,Rio Bonito"
41,Mendes,"Barra do Piraí,Engenheiro Paulo de Frontin,Paracambi,Piraí,,Vassouras"
42,Mesquita,"Belford Roxo,Nilópolis,São João de Meriti,Rio de Janeiro,Nova Iguaçu"
43,Miguel Pereira,"Duque de Caxias,Engenheiro Paulo de Frontin,Japeri,Nova Iguaçu,Paracambi,Paty do Alferes,Petrópolis,Vassouras"
44,Miracema,"Laje do Muriaé,Itaperuna,São José de Ubá,Santo Antônio de Pádua"
45,Natividade,"Bom Jesus do Itabapoana,Itaperuna,Porciúncula,Varre-Sai"
46,Nilópolis,"Mesquita,São João de Meriti,Rio de Janeiro"
47,Niterói,"São Gonçalo,Maricá,Rio de Janeiro"
48,Nova Friburgo,"Bom Jardim,Cachoeiras de Macacu,Casimiro de Abreu,Duas Barras,Macaé,Silva Jardim,Sumidouro,Teresópolis,Trajano de Moraes"
49,Nova Iguaçu,"Miguel Pereira,Duque de Caxias,Belford Roxo,Mesquita,Rio de Janeiro,Seropédica,Queimados,Japeri"
50,Paracambi,"Engenheiro Paulo de Frontin,Itaguaí,Japeri,Mendes,Miguel Pereira,Seropédica,Piraí"
51,Paraty,Angra dos Reis
52,Paraíba do Sul,"Areal,Comendador Levy Gasparian,Paty do Alferes,Petrópolis,Rio das Flores,Três Rios,Vassouras"
53,Paty do Alferes,"Miguel Pereira,Paraíba do Sul,Petrópolis,Vassouras"
54,Petrópolis,"Areal,Duque de Caxias,Guapimirim,Magé,Miguel Pereira,Paraíba do Sul,Paty do Alferes,São José do Vale do Rio Preto,Teresópolis"
55,Pinheiral,"Barra do Piraí,Piraí,Volta Redonda"
56,Piraí,"Barra do Piraí,Barra Mansa,Itaguaí,Mendes,Paracambi,Pinheiral,Rio Claro,Volta Redonda"
57,Porciúncula,"Natividade,Guaçuí,Caiana"
58,Porto Real,"Barra Mansa,Quatis,Resende"
59,Quatis,"Barra Mansa,Porto Real,Resende,Valença"
60,Queimados,"Japeri,Nova Iguaçu,Seropédica"
61,Quissamã,"Campos dos Goytacazes,Macaé,Carapebus,Conceição de Macabu."
62,Resende,"Barra Mansa,Itatiaia,Porto Real,Quatis"
63,Rio Bonito,"Cachoeiras de Macacu,Silva Jardim,Saquarema,Tanguá,Araruama,Itaboraí"
64,Rio Claro,"Angra dos Reis,Barra Mansa,Itaguaí,Mangaratiba,Piraí,Volta Redonda"
65,Rio das Flores,"Paraíba do Sul,Valença,Vassouras"
66,Rio das Ostras,"Casimiro de Abreu,Macaé"
67,Rio de Janeiro,"Duque de Caxias,Itaguaí,Seropédica,Mesquita,Nilópolis,Niterói,Nova Iguaçu,São João de Meriti"
68,Santa Maria Madalena,"Campos dos Goytacazes,Conceição de Macabu,São Fidélis,São Sebastião do Alto,Trajano de Moraes"
69,Santo Antônio de Pádua,"Miracema,São José de Ubá,Cambuci,Aperibé,Itaocara,Cantagalo"
70,Sapucaia,"Carmo,São José do Vale do Rio Preto,Sumidouro,Três Rios"
71,Saquarema,"Araruama,Maricá,Rio Bonito,Tanguá"
72,Seropédica,"Itaguaí,Japeri,Nova Iguaçu,Paracambi,Queimados,Rio de Janeiro"
73,Silva Jardim,"Araruama,Cachoeiras de Macacu,Casimiro de Abreu,Nova Friburgo,Rio Bonito"
74,Sumidouro,"Carmo,Duas Barras,Nova Friburgo,São José do Vale do Rio Preto,Sapucaia,Teresópolis"
75,São Fidélis,"Cambuci,Campos dos Goytacazes,Cardoso Moreira,Italva,Itaocara,Santa Maria Madalena,São Sebastião do Alto"
76,São Francisco de Itabapoana,"Campos dos Goytacazes,São João da Barra"
77,São Gonçalo,"Niterói,Maricá,Itaboraí"
78,São José de Ubá,"Cambuci,Itaperuna,Miracema,Santo Antônio de Padua"
79,São José do Vale do Rio Preto,"Areal,Petrópolis,Sapucaia,Sumidouro,Teresópolis,Três Rios"
80,São João da Barra,"Campos dos Goytacazes,São Francisco de Itabapoana"
81,São João de Meriti,"Belford Roxo,Duque de Caxias,Mesquita,Nilópolis,Rio de Janeiro."
82,São Pedro da Aldeia,"Araruama,Cabo Frio,Iguaba Grande"
83,São Sebastião do Alto,"Cantagalo,Itaocara,Macuco,Santa Maria Madalena,São Fidélis,Trajano de Morais"
84,Tanguá,"Itaboraí,Maricá,Rio Bonito,Saquarema"
85,Teresópolis,"Sapucaia,São José do Vale do Rio Preto,Sumidouro,Nova Friburgo,Cachoeiras de Macacu,Petrópolis,Guapimirim"
86,Trajano de Moraes,"Bom Jardim,Conceição de Macabu,Cordeiro,Macaé,Macuco,Nova Friburgo,Santa Maria Madalena,São Sebastião do Alto"
87,Três Rios,"Areal,Comendador Levy Gasparian,Paraíba do Sul,São José do Vale do Rio Preto,Sapucaia"
88,Valença,"Quatis,Barra Mansa,Barra do Piraí,Vassouras,Rio das Flores"
89,Varre-Sai,"Bom Jesus do Itabapoana,Natividade,Porciúncula"
90,Vassouras,"Barra do Piraí,Engenheiro Paulo de Frontin,Mendes,Miguel Pereira,Paraíba do Sul,Paty do Alferes,Rio das Flores,Valença"
91,Volta Redonda,"Barra do Piraí,Barra Mansa,Pinheiral,Piraí,Rio Claro"
